Postcode,Sales per month,Turnover (sale),5yr Price Growth,Crime rate,Population,Population growth (10 year),Degree,Deprivation,Social rent,Acres of green space / 1000 residents,Households,Density,Average Income,State Schools
DN37,0.4608294930875576,5,14,111,21700,-1,23,19,9,22.8,2.3566463944396174,413,38300,0.3686635944700461
DN38,0.693000693000693,9,57,55,2886,4,30,15,2,5.4,2.4211409395973154,185,40300,0.693000693000693
DN39,1.0787486515641855,7,16,54,2781,2,27,18,10,11.6,2.3040596520298258,125,39300,1.0787486515641855
DN40,0.7455268389662028,6,21,97,12072,-1,18,23,6,14.2,2.3390815733385004,531,33100,0.5798542080848245
DN41,0.7963051441312311,6,24,42,6279,1,23,19,10,8.8,2.396564885496183,356,42900,0.6370441153049848
DT1,1.0564682267180814,9,18,95,18931,4,37,15,16,6.8,2.2398248935163276,7768,43500,0.36976387935132854
DT2,0.607927372943179,5,22,34,24674,4,36,13,8,22.8,2.3087863759708056,111,44400,0.607927372943179
DT3,0.8124171548296062,9,20,68,23387,4,28,18,5,25.3,2.2926183707479657,674,41100,0.38482917860349763
DT4,0.8950123403216621,11,20,131,36871,4,26,20,11,15.2,2.2273166606258306,6771,38900,0.29833744677388735
DT5,0.6241710228602637,6,27,87,12817,4,24,20,8,5.7,2.486323957322987,3222,38000,0.15604275571506593
DT6,0.7385865300281585,7,24,56,21663,4,34,15,7,16.1,2.1309266181388944,339,38800,0.507778239394359
DT7,0.9154155986818016,5,39,63,5462,7,37,13,6,27.9,2.148701809598741,524,39100,0.5492493592090809
DT8,0.6787714237230613,5,24,37,5893,4,35,14,6,17.2,2.152300949598247,179,40800,0.8484642796538266
DT9,0.5780346820809249,7,16,45,20760,5,37,13,8,27.1,2.274071639829116,270,41200,0.5298651252408477
DT10,0.5881858667338878,4,22,40,11901,4,32,13,7,5.5,2.2890940565493363,247,40100,0.5881858667338878
DT11,0.3651815948476197,4,15,51,30122,4,33,13,11,13.0,2.4863392488650433,243,42900,0.4315782484562778
DY1,0.3758221108675227,9,34,167,31930,3,23,26,25,5.8,2.5050996391024634,9523,35100,0.3445036016285625
DY2,0.3231397432507858,8,54,144,34041,3,20,27,26,6.5,2.5831689178934587,9411,32600,0.35251608354631175
DY3,0.4693183151472486,10,29,96,34092,3,26,20,13,38.7,2.341001167341894,3447,37400,0.3519887363604365
DY4,0.3475359699728922,9,34,138,43161,10,20,28,29,7.6,2.4962984384037017,11827,32500,0.3938740993026112
DY5,0.37880581466925517,8,28,139,42238,3,21,24,21,3.5,2.4391060807299185,9095,36400,0.30777972441876983
DY6,0.4974063810132878,6,28,61,28146,3,27,16,8,5.0,2.400511727078891,7614,42000,0.461877353798053
DY7,0.37369207772795215,5,10,60,8028,2,32,17,4,108.3,2.368840365889643,289,44500,0.4982561036372695
DY8,0.37844836171696045,3,31,74,50205,3,31,16,8,6.3,2.3320791527313265,8438,40400,0.358530026889752
DY9,0.39953387714333277,6,14,92,30035,4,33,17,7,25.8,2.460876689881196,1714,41900,0.29965040785749963
DY10,0.5071422534020793,7,25,129,35493,4,27,18,8,10.1,2.285741885625966,1602,39800,0.36626940523483503
DY11,0.5938830050480055,9,20,120,30309,5,25,20,10,18.5,2.3219949436911054,2785,38400,0.395922003365337
DY12,0.4149033275246867,3,20,70,12051,4,26,19,6,38.4,2.191090909090909,334,40400,0.4149033275246867
DY13,0.5373936408419167,6,22,86,22330,5,26,19,5,16.3,2.2630992196209587,1338,38400,0.40304523063143755
DY14,0.48573163327261687,5,30,64,8235,6,29,17,4,31.9,2.4450712589073635,171,40800,0.7285974499089253
E1,0.305101293629485,1,-14,208,81940,22,50,23,34,0.9,3.2711884705976284,47476,52600,0.34171344886502314
E2,0.36781410242540946,5,16,203,46219,19,48,25,39,2.9,2.4079920808586017,45999,50400,0.4543585971137411
E3,0.4068348250610252,2,2,168,51618,22,49,23,37,6.5,2.56143310837634,38887,51600,0.3680886512456895
E4,0.43171440431714403,4,16,103,60225,7,35,20,13,15.7,2.5209292591042276,9321,49900,0.33208800332088007
E5,0.33564790534729066,9,13,137,47669,5,54,20,32,9.4,2.539231875565972,28473,45900,0.2936919171788793
E6,0.10132353872458995,5,19,131,78955,13,35,28,31,3.3,3.2442371697415457,19985,45000,0.2786397314926224
E7,0.23824796114725555,9,20,101,54565,13,37,27,21,9.1,3.3405779355944656,39438,46600,0.2749014936314487
E8,0.3839164597783522,6,5,214,39071,6,57,22,41,1.3,2.2821845794392526,39400,51200,0.30713316782268174
E9,0.36614708651532585,8,17,168,38236,6,51,24,43,17.3,2.393939393939394,20209,47000,0.4446071764828957
E10,0.3026563918701837,7,18,137,42953,7,44,22,23,7.9,2.8193633081719724,25550,49800,0.2560938700440016
E11,0.4534900594978958,12,20,105,55128,8,49,18,12,14.1,2.510268202723009,16815,53200,0.27209403569873747
E12,0.09553607681100576,3,22,93,41869,13,35,28,22,22.8,3.375171301894397,21336,45000,0.28660823043301725
E13,0.19184856753069576,5,5,134,46912,13,36,29,32,2.4,3.0125866940662727,38671,42800,0.34106412005457026
E14,0.4638916750250752,1,2,169,79760,22,54,20,27,1.4,2.3923215356928615,39360,60500,0.33851554663991973
E15,0.3062552637623459,6,10,204,52244,13,48,22,24,6.3,2.6697327405590476,26143,49200,0.3636781257177858
E16,0.4454839068938634,1,-7,166,44895,13,48,22,34,3.3,2.615191938020621,16632,49100,0.4232097115491703
E17,0.4163600449281537,6,16,122,103276,7,47,21,23,3.3,2.6810311258793904,20307,50100,0.3292149192455169
E18,0.47313636841551887,9,16,85,19022,10,54,12,8,6.0,2.3277043563387174,17260,58600,0.31542424561034593
EC1,0.40615884503193883,1,11,276,27083,5,60,18,29,1.1,1.685628928860397,33836,53300,0.33231178229885905
EC2,1.0649627263045793,2,3,1133,4695,11,66,14,13,2.1,1.6410346032855643,9198,61000,0.21299254526091585
EC3,5.063291139240507,5,22,3529,395,16,73,9,4,8.2,0.8476394849785407,5201,65800,2.5316455696202533
EC4,1.6934801016088061,7,-33,2075,1181,16,64,15,7,8.4,1.4562268803945746,3924,65300,0.0
EN1,0.39406278733744915,8,12,116,45678,5,37,20,17,4.9,2.5628682040060595,14576,49600,0.3721704102631464
EN2,0.441321247920698,6,12,126,29457,5,42,15,7,43.2,2.324757319864257,3667,54600,0.4073734596191058
EN3,0.2513871182058142,7,14,145,55691,5,30,27,20,4.6,2.705285145244341,12739,42300,0.3950369000377081
EN4,0.4657119571544999,4,9,82,25767,8,45,16,6,36.1,2.557518610421836,5612,54600,0.504521286917375
EN5,0.43186050905557505,5,1,84,37049,9,48,15,7,28.1,2.4311962727213072,3960,56800,0.2699128181597344
EN6,0.44711951848667236,4,11,98,29075,8,37,14,8,20.7,2.4473905723905722,2595,50300,0.37833190025795355
EN7,0.3198976327575176,4,16,52,21882,6,27,19,10,16.2,2.6513994910941476,2616,45900,0.4112969564025226
EN8,0.5585656035301346,10,12,127,35806,6,28,22,18,16.0,2.397455641111483,10932,41700,0.4468524828241077
EN9,0.4661807085946771,6,12,110,23596,8,26,21,8,26.0,2.322212380671194,1313,41600,0.25428038650618745
EN10,0.5231645643201768,5,7,75,17203,6,29,15,6,23.0,2.5095550692924875,4652,49200,0.23251758414230075
EN11,0.41903342955582457,5,13,90,21478,6,25,16,14,5.9,2.448193320414909,5163,45300,0.5587112394077661
EX1,0.7986845196147522,7,10,109,21285,11,36,18,16,7.4,2.323943661971831,8036,40200,0.5167958656330749
EX2,0.7389708599157574,4,14,75,40597,10,38,17,10,11.1,2.280089862398203,3120,43800,0.3941177919550706
EX3,1.0588733587462937,4,41,28,4722,11,46,11,4,17.2,2.0477016478751087,1474,44000,0.4235493434985176
EX4,0.4352241404323226,3,20,92,55144,11,34,18,6,6.0,2.5445987725531816,3215,41200,0.27201508777020167
EX5,0.6919310197998723,5,26,46,18788,13,37,15,7,35.9,2.387900355871886,285,47100,0.7983819459229295
EX6,0.5822416302765648,5,29,27,13740,9,37,16,5,29.1,2.321338063862139,183,44800,0.727802037845706
EX7,0.7198848184290514,4,16,66,12502,9,29,19,4,19.6,2.207663782447466,1200,37000,0.3199488081906895
EX8,0.6149074965244359,5,32,56,37404,14,31,16,8,10.4,2.2943016622707475,4111,39200,0.29408619398994756
EX9,0.8779631255487269,5,27,28,6834,14,39,13,6,41.7,2.1190697674418604,620,41400,0.585308750365818
EX10,1.1326378539493294,7,19,34,16775,14,36,13,3,13.2,2.109001760120694,566,39700,0.29806259314456035
EX11,1.0001250156269534,6,11,37,7999,14,39,11,5,5.1,2.3616770002952467,837,45400,0.3750468808601075
EX12,1.1820330969267139,7,16,33,9306,14,31,14,7,13.0,2.0434782608695654,673,35200,0.3223726627981947
EX13,0.9384064152874936,7,32,42,11722,14,32,14,4,6.3,2.216297976933258,305,38500,0.8530967411704488
EX14,0.6727534839019702,6,21,39,20810,14,30,14,5,8.9,2.2528959618923894,271,39800,0.4805382027871216
EX15,0.7603478591455591,7,25,45,21043,7,31,14,4,14.2,2.414295548416705,333,41700,0.5227391531625718
EX16,0.5274752552049397,4,29,59,32229,7,30,16,3,18.4,2.349908858913598,233,40000,0.5585032113934655
EX17,0.46182266009852213,4,26,36,19488,7,33,16,4,19.6,2.3783256041005614,171,40900,0.6157635467980296
EX18,0.676132521974307,3,21,38,2958,7,32,17,3,13.5,2.244309559939302,70,40200,0.676132521974307
EX19,0.8312551953449709,4,29,24,3609,7,29,15,3,6.8,2.22365988909427,104,41200,0.8312551953449709
EX20,0.84472049689441,6,13,44,20125,7,30,16,3,37.9,2.362921216390748,114,39300,0.6956521739130436
EX21,0.681044267877412,3,47,23,4405,7,27,17,3,7.5,2.4901074053137364,74,38800,1.1350737797956867
EX22,0.5632216277105041,3,17,34,10653,7,25,18,4,13.9,2.4388736263736264,92,36500,0.6570918989955881
EX23,0.8964589870013447,5,36,43,15617,7,28,17,4,15.8,2.2728860427885316,237,34700,0.5122622782864827
EX24,1.0732492621411323,6,26,20,3727,14,35,13,7,32.9,2.2158145065398336,186,41500,0.8049369466058491
EX31,0.8769831778681336,7,18,74,25086,6,28,17,5,7.2,2.4146693618250072,310,39900,0.5979430758191819
EX32,0.6695681285570807,7,16,72,23896,6,26,20,5,14.6,2.3573049225609153,511,37600,0.5858721124874455
EX33,0.6823277122526562,5,38,29,10259,6,32,15,5,34.8,2.288933511825078,415,40300,0.4873769373233259
EX34,0.6933610677760444,3,46,58,17307,6,27,19,2,15.1,2.298711648293266,490,35100,0.4044606228693592
EX35,1.1997600479904018,4,10,42,1667,6,35,13,1,14.3,2.292984869325997,61,36100,0.5998800239952009
EX36,0.702576112412178,5,20,37,8540,6,28,16,4,13.6,2.2852555525822855,107,37900,0.585480093676815
EX37,0.8422234699606962,5,15,15,3562,6,30,17,3,65.9,2.4330601092896176,77,39000,0.8422234699606962
EX38,0.6053268765133172,6,24,40,8260,7,27,16,3,18.2,2.3459244532803183,202,37500,0.48426150121065376
EX39,0.7531943510423672,2,30,55,37175,7,27,18,6,22.1,2.216491772000954,426,36300,0.40349697377269667
FY1,1.014743628006924,13,24,518,33506,-1,21,34,10,1.1,2.1683924411079474,13555,26600,0.1790724049423984
FY2,0.8133718329334255,11,17,113,24589,-1,24,23,13,9.4,2.2100485349631493,8943,32700,0.28468014152669896
FY3,0.8869460546738889,12,13,160,31569,0,25,26,7,21.4,2.2489848258174825,5564,33000,0.4117963825271628
FY4,0.7275703696966941,9,8,164,43982,0,22,27,6,7.5,2.236562420544114,6739,31800,0.3410486107953254
FY5,0.8928571428571428,4,24,77,44800,3,26,19,5,7.1,2.19285364659814,6414,35500,0.29017857142857145
FY6,0.7567294872256856,4,14,68,27751,5,31,16,4,14.7,2.2206129471073055,1346,39600,0.5765557997909985
FY7,0.5016012655785778,6,16,176,25917,4,20,28,9,11.6,2.324186171643799,5341,32100,0.34726241463132307
FY8,0.9347072770381178,4,20,81,43864,8,36,16,4,20.0,2.0530774631406508,3515,38900,0.2507751231077877
GL1,0.7608568418588317,13,14,318,34172,9,27,21,19,7.4,2.359781783026034,12536,35900,0.35116469624253777
GL2,0.6523783026651573,5,18,95,52117,10,29,16,6,14.5,2.4854308741475513,991,46900,0.4988775255674732
GL3,0.6605674274201538,9,18,75,30277,15,33,13,8,19.1,2.345599628137589,2908,45100,0.5614823133071308
GL4,0.4647134619040578,10,24,110,47341,9,28,17,7,20.0,2.4256289388738024,2038,41100,0.4013434443716863
GL5,0.7095629737139171,9,26,105,31005,8,40,13,8,24.2,2.321428571428571,3040,43000,0.5805515239477503
GL6,0.5716619028174765,6,26,49,24490,8,42,12,4,40.8,2.3386172650878536,563,46900,0.5716619028174765
GL7,0.6109022556390977,3,31,71,42560,10,39,11,10,31.5,2.327463633380728,267,45100,0.5874060150375939
GL8,0.8211143695014663,8,28,65,8525,10,43,10,6,53.7,2.306547619047619,210,46700,0.46920821114369504
GL9,1.1596443757247776,7,21,31,2587,10,42,9,5,13.8,2.4803451581975073,104,47500,0.7730962504831851
GL10,0.7256894049346879,9,12,82,13780,8,33,14,11,11.6,2.40572625698324,874,42500,0.7256894049346879
GL11,0.6048941435248832,7,23,66,18185,8,36,14,6,22.0,2.3332050295098794,695,43200,0.5499037668408029
GL12,0.3935200367285368,7,16,49,15247,9,37,12,4,13.4,2.6420031190434936,413,49200,0.5902800550928051
GL13,0.350938761186173,3,25,63,5699,8,34,12,5,10.1,2.3617903025279734,257,45100,0.701877522372346
GL14,0.5908613445378151,4,31,109,15232,6,25,19,11,7.0,2.3390663390663393,430,38000,0.5252100840336135
GL15,0.5780625270966809,5,18,84,20759,6,29,17,6,21.6,2.362736171181425,475,39100,0.5780625270966809
GL16,0.527068744823432,4,21,86,13281,6,28,18,10,38.7,2.321447299423178,584,37800,0.677659814772984
GL17,0.6062180652983459,4,18,59,11547,6,29,18,5,7.6,2.427370191297036,586,41100,0.6062180652983459
GL18,1.0327911179963851,9,32,77,7746,6,35,14,4,20.1,2.3366515837104074,262,42100,0.6454944487477408
GL19,0.43416910886790405,4,24,33,9213,10,36,12,6,8.1,2.682877111240536,171,47500,0.9768804949527842
GL20,0.5995838182908334,6,16,82,28353,15,33,13,5,18.3,2.3364647713226208,595,44900,0.5643141819207844
GL50,0.7505518763796909,7,10,201,22650,3,46,13,7,7.4,2.1886172577060585,8594,42700,0.22075055187637968
GL51,0.5442917403728399,4,20,116,51443,4,38,15,8,6.4,2.316208914903197,2306,42200,0.3887798145520284
GL52,0.7451738350837156,4,24,80,42943,8,43,12,6,7.6,2.247030505991314,2123,46300,0.3493002351954917
GL53,0.8514474606831614,9,14,57,19966,4,52,9,4,31.2,2.3625606437108035,1218,50000,0.3005108684764099
GL54,0.9008197459688316,9,25,62,22202,11,42,10,7,18.4,2.2426262626262625,142,45900,0.7206557967750653
GL55,0.966183574879227,12,37,59,5175,10,41,10,12,11.6,2.200255102040816,255,43000,0.7729468599033816
GL56,1.2844465203176085,12,32,69,8564,10,41,11,10,11.1,2.1485198193677872,176,42000,0.35030359645025694
GU1,0.6481323554494286,7,4,179,29315,5,52,12,12,22.3,2.352728731942215,6591,64400,0.40934675081016547
GU2,0.4414881092535908,9,18,77,33976,5,43,14,10,6.3,2.910149892933619,9445,53200,0.35319048740287257
GU3,0.34885749171463454,4,8,53,11466,5,42,14,8,81.6,2.487741375569538,487,58900,0.34885749171463454
GU4,0.6272345229881453,7,30,45,15943,5,51,11,8,48.8,2.391330433478326,1180,61300,0.3763407137928872
GU5,0.2802690582959641,3,30,50,10704,5,49,9,6,17.2,2.4817992116856016,407,58000,0.6539611360239163
GU6,0.5521811154058531,4,10,53,14488,6,40,10,9,39.0,2.402255015751948,805,54000,0.41413583655438985
GU7,0.6596886269680711,9,25,66,22738,6,49,11,13,32.5,2.4648238482384826,4079,59700,0.43979241797871405
GU8,0.5098572399728076,5,8,52,17652,6,50,9,5,60.6,2.5369359011210117,359,53300,0.45320643553138457
GU9,0.6379264034380876,8,23,71,29784,6,45,11,10,22.9,2.415571776155718,4479,56500,0.47005103411227506
GU10,0.6200177147918512,6,25,42,22580,6,41,12,6,94.7,2.5551657802421635,619,62200,0.3985828166519043
GU11,0.5443658138268918,7,3,141,23881,6,29,17,14,29.0,2.697808404880253,4784,50400,0.4187429337129936
GU12,0.6925436137585331,15,12,84,30323,5,31,15,13,8.5,2.440482897384306,5555,55000,0.23084787125284437
GU14,0.6162881328282188,4,14,106,55169,6,32,14,12,11.8,2.5363891315341824,5817,56000,0.4531530388442785
GU15,0.42869391254644185,5,24,83,34990,5,39,12,13,9.9,2.6632668594915514,5062,59700,0.3143755358673907
GU16,0.4245743641998896,7,15,54,23553,5,37,11,8,17.5,2.5831322658477736,3970,61700,0.4245743641998896
GU17,0.6469500924214417,14,20,63,10820,9,30,13,3,42.0,2.6513109531977457,2225,60000,0.277264325323475
GU18,0.7255840951966332,13,23,32,6891,5,44,10,4,23.2,2.455808980755524,2833,66300,0.2902336380786533
GU19,0.533997864008544,6,15,100,5618,5,38,11,6,137.6,2.39982913284921,1822,56300,0.533997864008544
GU20,0.693000693000693,6,13,33,4329,5,48,8,2,185.8,2.470890410958904,1157,64000,0.23100023100023098
GU21,0.49799804784765245,4,11,84,50201,4,43,14,7,12.8,2.5300372946275576,6853,59800,0.3386386725364037
GU22,0.5140921737026733,7,18,68,33068,4,49,12,7,55.8,2.508001516875237,3983,65100,0.3024071610015725
GU23,0.2913752913752914,2,13,69,6864,5,47,11,5,117.6,2.568862275449102,566,61200,0.1456876456876457
GU24,0.22777746142019248,3,6,58,17561,5,41,11,4,97.5,2.808861164427383,841,63000,0.45555492284038496
GU25,0.7002801120448179,4,49,55,5712,9,49,8,7,27.0,2.5477252453166814,925,68000,0.35014005602240894
GU26,0.4088864658579801,3,16,47,7337,7,45,10,7,46.1,2.4888059701492535,1422,56900,0.2725909772386534
GU27,0.3930596889213319,4,35,56,17809,7,47,10,3,9.1,2.4332559092772237,646,53900,0.3930596889213319
GU28,0.5918910920390649,6,19,40,6758,9,39,11,6,150.7,2.367904695164681,140,43800,0.5918910920390649
GU29,0.5502366017387477,4,6,48,9087,9,38,11,10,51.5,2.1246200607902734,301,42600,0.4401892813909981
GU30,0.43159257660768235,4,-5,67,9268,9,42,10,5,40.5,2.418580375782881,581,51000,0.43159257660768235
GU31,0.6348630509704335,8,28,48,11026,9,44,11,6,158.5,2.3286166842661036,359,50600,0.36277888626881916
GU32,0.49529470034670625,6,13,93,12114,9,44,11,5,70.3,2.3992869875222818,320,51500,0.6603929337956084
GU33,0.3570153516601214,4,9,57,8403,9,42,11,8,37.2,2.5166217430368376,497,51200,0.5950255861002023
GU34,0.5379959650302623,2,12,79,29740,9,41,11,7,17.1,2.411807639283108,472,54800,0.5716207128446537
GU35,0.7072135785007072,6,21,71,22624,9,33,12,7,36.5,2.532348332214014,1275,51300,0.3094059405940594
GU46,0.47223908790393304,10,18,45,14823,9,34,11,6,54.4,2.540795337675694,4361,58600,0.47223908790393304
GU47,0.5832449628844114,13,14,52,18860,10,33,11,7,16.9,2.516680010675207,4358,60100,0.3181336161187699
GU51,0.7279890373415554,9,18,67,23352,9,45,9,5,22.3,2.4908799999999998,4927,68600,0.17129153819801302
GU52,0.4987531172069825,6,14,45,16040,9,43,9,5,3.7,2.5635288476905864,6901,65100,0.4987531172069825
HA0,0.18513566329994036,3,13,93,48613,9,36,22,11,9.0,3.244327282434597,21627,51000,0.18513566329994036
HA1,0.3379432255381096,3,11,152,38468,9,50,17,8,10.4,2.71054114994363,15152,57500,0.2079650618696059
HA2,0.2532882239067899,5,14,78,55273,9,48,16,9,5.8,2.881203085904921,17675,57900,0.21710419192010566
HA3,0.22595040388634693,5,14,83,70812,9,41,18,11,7.5,3.0239569543494045,14925,54100,0.3671694063153138
HA4,0.4791184221033299,10,11,71,50092,11,42,14,9,8.0,2.5756890168654873,8311,58800,0.33937554898985867
HA5,0.38173081241298784,7,13,61,44534,9,51,13,8,16.8,2.549607831911605,9308,63800,0.26945704405622667
HA6,0.36528012419524225,4,-5,70,21901,10,53,13,7,39.1,2.4862072880009083,4413,63100,0.31962010867083696
HA7,0.333555703802535,4,11,67,35976,9,44,17,9,18.3,2.8198777237811568,8943,56700,0.22237046920169
HA8,0.2927355365534242,2,9,106,64905,9,42,19,10,4.6,2.8989682433337802,15099,51500,0.2927355365534242
HA9,0.23155457320282077,3,11,150,47505,9,41,22,15,4.9,3.0494928745666967,19369,51300,0.2736554046942427
HD1,0.33751001982871365,9,16,278,23703,3,32,27,22,7.1,2.5837148463047743,9726,33600,0.25313251487153526
HD2,0.48741426731191034,8,29,118,28723,2,32,23,14,17.5,2.463167824371838,5003,36700,0.27852243846394875
HD3,0.6781270131895704,10,20,106,29493,2,36,16,4,8.1,2.2404284412032816,4143,40600,0.2712508052758282
HD4,0.563473649320517,10,18,111,30170,3,31,22,11,15.6,2.2941221199908752,3289,35600,0.46403712296983757
HD5,0.25603277219484094,6,25,111,31246,3,28,22,14,6.4,2.2820625182588374,4715,36500,0.38404915829226144
HD6,0.7694280584765325,12,17,111,27293,1,30,18,9,16.2,2.220387243735763,3875,40300,0.5129520389843549
HD7,0.5778548250877895,10,14,73,22497,3,35,15,2,14.3,2.3097535934291584,1041,40800,0.5778548250877895
HD8,0.3789093240840596,4,36,49,34309,3,37,12,4,24.0,2.481304693715195,1204,44100,0.5537905505843947
HD9,0.5097706032285472,6,12,94,35310,3,39,12,3,8.8,2.3663047848813834,994,45800,0.48145001416029454
HG1,0.8705493166187865,4,19,115,34461,3,38,14,11,10.6,2.2135791366906474,6709,42500,0.2901831055395955
HG2,0.6962945023007993,10,24,64,33032,3,45,11,7,12.3,2.359934271629635,6064,48100,0.36328408815693874
HG3,0.6454797433268786,5,21,50,26337,3,41,11,4,53.3,2.3890602322206096,158,47400,0.9112655199908873
HG4,0.6158109460395659,7,16,62,25982,3,35,12,4,14.9,2.376692279546286,174,41900,0.6158109460395659
HG5,0.43549265106151336,5,12,61,18370,3,39,12,3,36.9,2.351811547817181,611,45600,0.4899292324442025
HP1,0.4065536447534252,5,16,128,24597,7,34,17,15,12.8,2.3882901252548794,2582,48600,0.6504858316054803
HP10,0.46470800846801263,4,15,51,19367,10,40,13,7,21.9,1.1993435719593757,4134,45300,0.9294160169360253
HP11,0.6399317406143344,7,7,230,14064,10,39,15,9,10.9,1.1145098660749664,3591,50300,0.9954493742889646
HP12,0.36120642947444465,6,15,112,22148,10,33,18,11,6.2,2.190052407791951,1233,58000,0.541809644211667
HP13,0.4458942526577644,8,17,93,42611,10,39,15,12,7.8,4.153523735256847,1530,52400,0.2816174227312196
HP14,0.2887169419101513,3,11,44,17318,10,37,14,6,13.1,3.119236311239193,4016,61100,0.5774338838203026
HP2,0.25988876760746404,4,21,120,38478,7,30,19,17,6.7,8.602280348759223,870,62800,0.2079110140859712
HP3,0.3445359726876938,4,10,77,31927,7,36,14,11,20.9,11.77249262536873,1211,65900,0.06264290412503525
HP4,0.6271689593176402,10,18,53,23917,7,39,15,9,34.4,3.5485163204747776,1625,66900,0.3344901116360747
HP5,0.35605491157969693,5,12,75,25277,10,41,13,7,13.1,3.204894129580322,1342,60000,0.27693159789531985
HP6,0.4950144968531221,12,3,57,14141,10,55,9,5,6.2,2.6392310563643147,6307,52700,0.5657308535464253
HP7,0.3776435045317221,4,31,70,10592,10,52,9,8,11.7,1.293600390815828,5230,47800,0.6608761329305136
HP8,0.290065264684554,2,29,38,6895,10,51,9,4,40.7,0.41401465113486247,10598,54400,1.7403915881073242
HP9,0.4647650031952594,3,15,68,17213,10,54,8,6,23.4,2.509183673469388,550,59100,0.5228606285946669
HP15,0.5716245569909683,9,25,42,17494,10,40,12,4,12.0,2.5501457725947523,2815,58600,0.5716245569909683
HP16,0.41820006691201067,4,15,37,11956,10,47,8,2,16.1,2.508602601762484,546,62200,0.5018400802944128
HP17,0.5185108368764908,3,6,39,9643,10,36,14,7,25.2,2.4017434620174347,367,59300,0.5185108368764908
HP18,0.9607567807257409,7,22,65,13531,10,37,13,9,24.7,2.588674191696958,312,56600,0.8129480452294731
HP19,0.761453530183172,12,13,104,23639,10,32,17,19,2.7,2.518269947800149,9916,51600,0.2538178433943906
HP20,0.8817744014108391,13,9,198,14743,10,34,17,19,5.2,2.50390625,12436,49900,0.3391440005426304
HP21,0.4777688196124101,10,7,80,33489,10,33,15,16,4.5,2.4871147419235053,12247,51400,0.5076293708381857
HP22,0.5603586295228947,4,11,60,24984,10,36,13,8,26.9,2.4872075659532107,615,57600,0.5603586295228947
HP23,0.3420557550880794,4,11,54,17541,7,44,10,7,51.5,2.428828579340903,657,52900,0.513083632632119
HP27,0.720634158059092,7,18,67,12489,10,43,11,5,13.9,2.392070484581498,976,56500,0.48042277203939465
HR1,0.6843988178565874,9,26,107,32145,2,30,17,6,14.7,2.398880597014925,413,40900,0.6532897806812878
HR2,0.48796774276395205,7,28,80,38937,2,30,17,4,9.9,2.4223590892123927,208,37900,0.5136502555410022
HR3,0.5322687957418496,3,48,41,7515,1,31,15,5,14.1,2.212897526501767,74,38300,0.5322687957418496
HR4,0.5335289606188935,6,10,94,29989,2,30,16,6,28.2,2.310934730677352,412,39500,0.4668378405415319
HR5,0.41467965996267886,3,13,78,4823,2,33,15,4,86.0,2.3043478260869565,94,36600,0.6220194899440182
HR6,0.5364022041254206,5,20,97,20507,2,32,16,4,27.4,2.2974456643513332,171,36900,0.5851660408640952
HR7,0.7129616426636247,8,19,83,7013,2,34,15,6,17.7,2.275470473718365,158,38800,0.5703693141308998
HR8,0.564214683687143,5,14,66,14179,2,37,14,5,16.9,2.2873044039361186,233,40700,0.4936878482262501
HR9,0.6209400076423386,4,23,78,20936,2,36,14,5,20.2,2.3006593406593407,319,41200,0.573175391669851
HU1,0.8873114463176576,3,18,922,3381,4,30,26,20,3.7,1.5368181818181819,3841,29200,0.0
HU2,0.9678199854827002,17,5,412,4133,4,26,29,37,2.1,1.9223255813953488,7706,27800,0.7258649891120251
HU3,0.5628940258180727,13,8,256,26648,4,24,27,28,4.7,2.1047310638970065,8235,30100,0.4503152206544581
HU4,0.4760462197602458,10,15,107,23107,4,22,21,22,9.4,2.2794712439577784,9125,32800,0.43276929069113257
HU5,0.5477308294209703,4,12,111,51120,4,27,22,19,8.1,2.25974714879321,12696,35500,0.2347417840375587
HU6,0.2983738624496494,7,17,139,33515,4,21,25,22,6.3,2.4317950950515166,9228,32100,0.47739817991943906
HU7,0.5456702253855279,10,18,149,42150,4,21,23,26,5.3,2.4669319911038277,3842,34600,0.42704626334519574
HU8,0.3511338697878566,8,8,105,34175,4,20,22,15,11.3,2.2916247569234893,9817,33900,0.38039502560351135
HU9,0.462658582316702,11,13,185,41067,4,18,29,25,5.5,2.2636423768052034,6919,29700,0.43830813061582297
HU10,0.6240898689411275,6,10,68,19228,3,31,13,5,16.1,2.3560838132581794,3366,43800,0.26003744539213647
HU11,0.5662972251435968,7,10,49,12361,3,20,24,8,50.6,2.301005212211467,178,38600,0.4853976215516544
HU12,0.5884660651235779,5,21,42,25490,3,23,21,4,10.4,2.3540820096047286,258,37500,0.5100039231071009
HU13,0.6638783774812453,6,6,71,15063,3,30,15,7,10.2,2.3841405508072175,6161,39300,0.2655513509924982
HU14,0.7287744443094862,6,14,40,8233,3,39,10,3,4.0,2.3898403483309143,1366,52600,0.3643872221547431
HU15,0.660856635413655,6,10,35,24211,3,36,10,4,16.4,2.484708538587849,625,47200,0.3304283177068275
HU16,0.8539709649871904,9,24,65,16394,3,37,13,12,28.7,2.373190503763752,1404,40700,0.30498963035256804
HU17,0.6434562794438698,3,18,74,43515,3,37,12,3,14.2,2.321914518969105,673,44900,0.3906698839480639
HU18,0.8136696501220504,9,39,62,8603,3,27,18,3,17.2,2.254454926624738,1018,34800,0.4649540857840288
